"mac_Id","ts","Acc_Angle","Acceleration_y","Acceleration_Z","Aceeleration_x","Device_ID","Gyro_x","Gyro_y","Gyro_z","time","Velocity"
"2c:3a:e8:03:e2:03","1661180511694","89.85195923","0.023942016","9.44512558","0.004788403","ESP8266_1","'-29.93895149","'-0.656489074","'-4.488553524","18240","944.515686"
"2c:3a:e8:03:e2:03","1661180511903","89.44658661","'-0.004788403","9.430760384","'-0.090979666","ESP8266_1","'-29.81682014","'-0.503817201","'-4.793897152","18450","27362.05859"
"2c:3a:e8:03:e2:03","1661180512072","89.61873627","0.052672438","9.380482674","0.033518825","ESP8266_1","'-29.48094177","'-0.763359308","'-4.122140884","18613","52802.66016"
"2c:3a:e8:03:e2:03","1661180512242","89.6672821","0.01436521","9.399636269","'-0.052672438","ESP8266_1","'-29.70994568","'-0.870229721","'-4.366415977","18786","78230.46875"
"2c:3a:e8:03:e2:03","1661180512410","89.32164764","0.110133275","9.440337181","'-0.019153614","ESP8266_1","'-29.4351368","'-0.503817201","'-3.877865791","18954","103668.9531"
"2c:3a:e8:03:e2:03","1661180512587","89.39332581","0.069431849","9.43315506","'-0.071826048","ESP8266_1","'-30.04582596","'-0.931298435","'-4.656492233","19125","129156.8828"
"2c:3a:e8:03:e2:03","1661180512754","88.89230347","0.067037649","9.449913979","'-0.169988319","ESP8266_1","'-30.25956726","'-1.129771948","'-4.73282814","19293","154621.1406"
"2c:3a:e8:03:e2:03","1661180512921","85.61071777","0.51954174","9.375694275","0.497993946","ESP8266_1","'-32.77864838","1.099237442","'-15.67940235","19467","179998.7969"
"2c:3a:e8:03:e2:03","1661180513112","85.78495789","'-0.330399841","9.476250648","0.615309834","ESP8266_1","'-38.10689926","'-0.244275004","5.496187687","19635","205482.1406"
"2c:3a:e8:03:e2:03","1661180513262","85.05168915","'-0.217872351","9.519346237","'-0.794874966","ESP8266_1","'-39.64888382","3.694659233","0.916031241","19807","231393.7031"
"2c:3a:e8:03:e2:03","1661180513431","84.08990479","'-0.888248801","9.272743225","'-0.363918662","ESP8266_1","'-40.27484512","'-1.190840602","'-8.717563629","19975","256440"
"2c:3a:e8:03:e2:03","1661180513613","67.44416046","'-2.257732153","9.868899345","3.42131424","ESP8266_1","'-23.41986656","'-22.10688782","'-9.786267281","20160","282143.375"
"2c:3a:e8:03:e2:03","1661180513880","82.29309845","'-0.89064306","8.46589756","'-0.720654726","ESP8266_1","'-72.65654755","'-31.48094177","17.6030674","20351","309230.5938"
"2c:3a:e8:03:e2:03","1661180513961","79.31325531","'-1.498770237","8.731653214","0.684741676","ESP8266_1","'-26.73284531","'-42.96186829","10.03054237","20516","334269.8125"
"2c:3a:e8:03:e2:03","1661180514129","65.21883392","'-1.750161409","8.892065048","3.713406801","ESP8266_1","'-31.31299973","'-21.40459824","'-7.068707943","20677","357934.0313"
"2c:3a:e8:03:e2:03","1661180514314","72.19013977","'-1.288080573","7.99423933","2.221819162","ESP8266_1","'-18.27482224","22.33589554","'-16.58016586","20853","381773.1563"
"2c:3a:e8:03:e2:03","1661180514489","86.66040802","0.14844051","8.865729332","0.495599747","ESP8266_1","'-13.55726242","41.25194168","'-34.30537033","21029","405432.4688"
"2c:3a:e8:03:e2:03","1661180516551","84.95211792","0","9.459490776","'-0.835576415","ESP8266_1","'-23.95421791","41.78629303","21.14505386","21293","430570.4688"
"2c:3a:e8:03:e2:03","1661180516552","59.01190186","'-2.803610086","11.46583176","6.289567947","ESP8266_1","'-70.96188354","'-8.442754745","'-10.70229912","21703","461103.2188"
"2c:3a:e8:03:e2:03","1661180516599","81.62337494","'-0.380678058","8.59278965","'-1.206677675","ESP8266_1","38.4885788","'-41.20614243","'-62.30539322","22111","479179.9688"
"2c:3a:e8:03:e2:03","1661180516660","75.95461273","1.817199111","8.604761124","1.15400517","ESP8266_1","'-20.45803261","58.93134308","'-14.12214851","22520","503744.6563"
"2c:3a:e8:03:e2:03","1661180516840","83.8704834","'-0.126892686","10.52251625","'-1.122880578","ESP8266_1","43.08400345","'-40.36644363","'-27.19086075","23374","521202"
"2c:3a:e8:03:e2:03","1661180517011","39.9119339","2.56658411","5.109226227","'-5.54257679","ESP8266_1","'-222.0765228","40.53438568","'-19.60307121","23558","555537.625"
"2c:3a:e8:03:e2:03","1661180517181","63.79291916","5.214571476","10.6446209","0.509964943","ESP8266_1","33.38933945","51.46569443","6.167943954","23723","582195.375"
"2c:3a:e8:03:e2:03","1661180517352","84.31026459","0.888248801","9.59835434","0.354341865","ESP8266_1","'-17.77100754","44.29011536","4.595423698","23896","607573.1875"
"2c:3a:e8:03:e2:03","1661180517529","81.83158112","0.098162271","9.615114212","1.37666595","ESP8266_1","'-44.18323517","46.83973312","'-33.51147842","24064","633945.3125"
"2c:3a:e8:03:e2:03","1661180517704","49.84977722","'-5.319916248","12.66532707","9.26556015","ESP8266_1","'-134.5649872","'-48.56492615","'-148.5039368","24246","666396.1875"
"2c:3a:e8:03:e2:03","1661180517872","51.16757584","2.626439333","8.283937454","'-6.129156113","ESP8266_1","'-179.6489868","'-68.16799164","278.1223755","24414","700901.5"
"2c:3a:e8:03:e2:03","1661180518043","54.66011429","'-0.268150598","6.358999729","'-4.50109911","ESP8266_1","'-34.06110001","'-91.22145081","62.97714996","24591","719316.5625"
"2c:3a:e8:03:e2:03","1661180518212","34.57843781","'-0.023942016","8.312667847","12.05959415","ESP8266_1","'-11.17558193","'-11.48092556","'-19.61833572","24754","747133.1875"
"2c:3a:e8:03:e2:03","1661180518382","74.89707184","'-3.387795448","15.32049656","2.370259762","ESP8266_1","81.74051666","'-2.717559338","'-139.6642303","24926","766815.875"
"2c:3a:e8:03:e2:03","1661180518559","82.49620819","1.161187768","10.47223854","'-0.74459672","ESP8266_1","'-32.74811935","24.91605186","'-31.45040512","25096","792361.125"
"2c:3a:e8:03:e2:03","1661180518722","83.14027405","'-0.093373865","9.366117477","1.122880578","ESP8266_1","'-47.22141266","14.83970642","'-67.7710495","25272","817449.4375"
"2c:3a:e8:03:e2:03","1661180518900","74.70031738","2.571372509","9.579200745","0.505176544","ESP8266_1","'-53.70996475","7.770998478","'-83.0993042","25434","843558.9375"
"2c:3a:e8:03:e2:03","1661180519070","69.50001526","'-3.320757866","9.059659004","'-0.66798228","ESP8266_1","'-112.2443695","17.64887047","'-91.28251648","25613","871756.5625"
"2c:3a:e8:03:e2:03","1661180519243","80.59433746","'-0.679953277","7.484274387","'-1.036689281","ESP8266_1","'-38.35117722","'-18.27482224","'-180.5039673","25783","895561.5625"
"2c:3a:e8:03:e2:03","1661180519413","79.40887451","1.419761658","8.413225174","0.677559078","ESP8266_1","15.83207321","'-7.358784199","'-152.7634735","25952","917456.5625"
"2c:3a:e8:03:e2:03","1661180519570","53.5931015","3.75650239","8.549694061","5.063736439","ESP8266_1","'-82.18327332","37.29774094","144.6566162","26120","944269.1875"
"2c:3a:e8:03:e2:03","1661180519729","72.42407227","0.210689753","8.913613319","2.815581083","ESP8266_1","'-15.19085217","'-14.580163","'-53.34355164","26282","970383.375"
"2c:3a:e8:03:e2:03","1661180519902","68.44870758","2.427720547","8.410830498","2.26730895","ESP8266_1","124.8856049","'-66.12219238","'-186.6108398","26447","993933.0625"
"2c:3a:e8:03:e2:03","1661180520079","81.12530518","0.229843363","9.059659004","1.395819545","ESP8266_1","'-31.41987228","17.51146317","'-5.832066059","26616","1020535.438"
"2c:3a:e8:03:e2:03","1661180520252","69.92558289","'-0.514753342","8.949525833","3.229778051","ESP8266_1","'-35.08399963","5.206110954","'-20.1679554","26796","1047158"
"2c:3a:e8:03:e2:03","1661180520422","80.03186035","1.754949808","10.01973438","'-0.146046311","ESP8266_1","'-32.24430084","4.122140884","'-10.30535126","26963","1073148.125"
"2c:3a:e8:03:e2:03","1661180520590","73.6760788","'-0.026336219","9.18894577","2.691082716","ESP8266_1","'-44.58018494","0.259542197","'-37.74048996","27138","1098880.125"
"2c:3a:e8:03:e2:03","1661180520770","74.76152802","0.201112941","10.23042393","2.779668093","ESP8266_1","'-1.603054762","'-3.81679678","'-36.80919266","27308","1123841.375"
"2c:3a:e8:03:e2:03","1661180520941","60.03940582","'-0.215478152","10.21605873","'-5.884947777","ESP8266_1","'-54.33591843","'-62.96188354","30.38170433","27485","1156203.125"
"2c:3a:e8:03:e2:03","1661180521112","84.86152649","0.600944638","6.775590897","0.10055647","ESP8266_1","'-29.41987228","'-46.53439331","'-31.32826805","27654","1173214"
"2c:3a:e8:03:e2:03","1661180521281","58.94135666","'-2.217030764","10.08198357","5.652710438","ESP8266_1","'-40.91606522","'-11.4351244","'-139.6947632","27828","1198877"
"2c:3a:e8:03:e2:03","1661180521470","53.49344254","0.268150598","9.30386734","6.880935669","ESP8266_1","'-19.67940521","'-20.36643028","28.09162521","27996","1228057.75"
"2c:3a:e8:03:e2:03","1661180521622","82.70667267","'-1.00317049","8.458714485","0.407014281","ESP8266_1","3.679392099","61.14508438","25.70994377","28164","1254298.875"
"2c:3a:e8:03:e2:03","1661180521803","77.54815674","2.085349798","9.536105156","'-0.292092621","ESP8266_1","'-13.40459061","37.89316177","5.007637501","28333","1278991.875"
"2c:3a:e8:03:e2:03","1661180521970","80.84411621","1.513135433","9.655815125","'-0.363918662","ESP8266_1","'-22.53437042","39.52675247","'-22.19849205","28511","1303916.25"
"2c:3a:e8:03:e2:03","1661180522141","82.08525085","0.201112941","9.734824181","1.33835876","ESP8266_1","'-42.10690689","34.29010391","'-61.54203415","28682","1331793"
"2c:3a:e8:03:e2:03","1661180522331","40.28127289","2.212242365","5.204994678","'-5.729324818","ESP8266_1","'-108.6260452","'-8.671762466","55.67943192","28854","1362770.25"
"2c:3a:e8:03:e2:03","1661180522512","62.55763626","1.209071875","8.441955566","'-4.213795185","ESP8266_1","'-51.5267601","'-130.2291107","61.41989899","29053","1386088.75"
"2c:3a:e8:03:e2:03","1661180522687","77.02976227","'-0.260968","12.76348972","2.928108692","ESP8266_1","24.5191021","'-28.90078735","'-64.77867889","29224","1404564.875"
"2c:3a:e8:03:e2:03","1661180522862","34.23130417","'-0.969651699","4.623203278","'-6.72531271","ESP8266_1","'-24.67177582","44.12217331","109.5573425","29409","1434104"
"2c:3a:e8:03:e2:03","1661180523030","66.78498077","3.335123062","9.327810287","2.209848166","ESP8266_1","'-26.10689163","56.65653992","'-33.51147842","29574","1458057.75"
"2c:3a:e8:03:e2:03","1661180523203","82.49549103","1.280897856","9.749189377","0.093373865","ESP8266_1","'-7.755731583","48.01530457","'-12.33588791","29743","1483060.75"
"2c:3a:e8:03:e2:03","1661180523373","74.86638641","0.208295554","10.07719517","2.717418909","ESP8266_1","'-34.3511734","42.4885788","'-32.07636261","29913","1511268.375"
"2c:3a:e8:03:e2:03","1661180523543","36.47036362","1.082179189","4.661510944","'-6.212953568","ESP8266_1","'-87.98480988","'-25.95421982","116.5497131","30085","1545689.125"
"2c:3a:e8:03:e2:03","1661180523711","53.82953262","0.196324542","9.222464561","'-6.739677906","ESP8266_1","'-87.31304932","'-124.900856","107.9390182","30257","1572082.875"
"2c:3a:e8:03:e2:03","1661180523886","70.59532166","'-3.366247654","10.699687","'-1.695094824","ESP8266_1","79.02297211","'-19.05344963","'-29.66414642","30424","1586296.75"
"2c:3a:e8:03:e2:03","1661180524053","39.54573059","2.485181332","6.107608318","6.967126846","ESP8266_1","'-267.5726929","77.92372894","13.34352207","30596","1619106.5"
"2c:3a:e8:03:e2:03","1661180524221","59.55839539","6.088454723","10.38365269","0.40940848","ESP8266_1","56.54966354","50.4427948","16.09161568","30769","1645478.75"
"2c:3a:e8:03:e2:03","1661180524391","70.32550812","2.00873518","9.821015358","2.880224705","ESP8266_1","'-0.503817201","49.14507675","'-34.04582977","30934","1671236.5"
"2c:3a:e8:03:e2:03","1661180524562","69.89012146","'-1.00317049","9.06205368","3.162740469","ESP8266_1","'-44.61072159","47.75576401","'-29.45040512","31112","1697068.75"
"2c:3a:e8:03:e2:03","1661180524899","36.92440414","7.529764175","7.716512203","'-6.981492043","ESP8266_1","98.88558197","'-99.45045471","171.4047241","31278","1730396"
"2c:3a:e8:03:e2:03","1661180524929","52.0053215","1.424550056","7.951143742","'-6.045359135","ESP8266_1","'-35.74048996","'-110.3512344","109.3741379","31459","1752381.75"
"2c:3a:e8:03:e2:03","1661180525082","69.79847717","'-1.520318031","13.20162773","4.61362648","ESP8266_1","'-64.25959778","'-22.24429131","27.0076561","31632","1775288"
"2c:3a:e8:03:e2:03","1661180525256","67.23661804","'-4.364629745","11.53526402","2.092532396","ESP8266_1","'-44.97713852","19.26718903","'-172.4581451","31797","1807553.5"
"2c:3a:e8:03:e2:03","1661180525423","49.97328568","'-4.211400986","9.057265282","6.335057735","ESP8266_1","'-48.3969841","39.09926987","'-18.58016777","31970","1835612.125"
"2c:3a:e8:03:e2:03","1661180525607","74.33721161","0.732625723","9.576807022","2.583343744","ESP8266_1","'-23.84734535","29.57254219","1.679390669","32138","1862030"
"2c:3a:e8:03:e2:03","1661180525784","71.16635895","0.919373453","9.13866806","2.978386879","ESP8266_1","'-25.17559433","21.26719284","74.70235443","32326","1889264.375"
"2c:3a:e8:03:e2:03","1661180525953","37.8411293","11.43470764","9.514557838","'-4.388571739","ESP8266_1","1.190840602","4.122140884","215.0688782","32496","1918203.5"
"2c:3a:e8:03:e2:03","1661180526131","54.50526428","3.289633036","7.026981831","'-3.780444384","ESP8266_1","'-30.90078735","52.16798019","390.7331543","32664","1937025.375"
"2c:3a:e8:03:e2:03","1661180526292","54.01931","1.628057122","8.693346024","'-6.098031521","ESP8266_1","68.87028503","'-34.01529312","'-300.5346069","32843","1961918.25"
"2c:3a:e8:03:e2:03","1661180526462","63.79375458","3.579331636","9.414001465","2.942473888","ESP8266_1","115.7558136","'-69.90844727","'-85.87792969","33007","1982072.75"
"2c:3a:e8:03:e2:03","1661180526634","83.64605713","1.031900883","9.282320023","'-0.059855044","ESP8266_1","'-26.77864647","14.96184349","42.73286057","33174","2007446"
"2c:3a:e8:03:e2:03","1661180526800","83.24395752","1.024718285","9.337387085","0.416591108","ESP8266_1","'-45.96950531","22.36643028","16.68703651","33343","2019846.125"
"2c:3a:e8:03:e2:03","1661180527011","55.47921753","'-0.117315881","10.19690514","7.012616634","ESP8266_1","'-25.37406731","'-31.83208847","13.22138596","33557","2049539.25"
"2c:3a:e8:03:e2:03","1661180527190","70.09752655","3.768473387","10.86488724","'-1.127668977","ESP8266_1","'-60.62600327","'-71.75577545","63.14509201","33732","2078930.25"
"2c:3a:e8:03:e2:03","1661180527360","70.29127502","'-0.574608386","6.710947514","'-2.334346771","ESP8266_1","'-9.984740257","'-75.60311127","30.9313221","33903","2097066"
"2c:3a:e8:03:e2:03","1661180527530","39.42071533","'-4.247313976","7.979874134","8.729259491","ESP8266_1","40.71758652","'-33.23666763","'-54.3817215","34075","2122808.25"
"2c:3a:e8:03:e2:03","1661180527701","51.12391281","'-0.234631762","6.54574728","'-5.272032261","ESP8266_1","'-14.62596798","52.58019638","24.29009628","34244","2150723"
